-,ꢣ,ꢣꢵꢱꢶ,sourashtra,,,'ꢣꢱ':1 'daasi':2 'dasi':3 'dāsi':4 'slave':5 'அட':6,abstract|concept|idea,दासि|தா3ஸி|daasi|dAsi|dāsi|d̪ɑːs̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
-,ꢣ,ꢣꢵꢱꢦ꣄ꢦꢥ꣄,sourashtra,,,'ꢣꢱꢦꢦꢥ':1 'daasappan':2 'dasappan':3 'dāsappan':4 'slavery':5 'அட':6 'தனம':7,abstract|concept|idea,दासप्पन्|தா3ஸப்பன்|daasappan|dAsappan|dāsappan|d̪ɑːs̪əppən̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,slavery,english,,english,,abstract|concept|idea,,noun,
^,,அடிமைத்தனம்,tamil,,tamil,'அடமததனம':1 'slavery':2 'அட':3 'தனம':4,abstract|concept|idea,தா3ஸப்பன்,noun,
-,ꢃ,ꢃꢗ꣄ꢗꢬ꣄ꢫꣁ,sourashtra,,,'ꢃꢗꢗꢬꢫ':1 'aachcharyo':2 'accaryo':3 'āccaryŏ':4 'surprise':5 'அத':6 'சயம':7,abstract|concept|idea,आच्चया॑|ஆச்சர்யொ|aachcharyo'|AccaryO|āccaryŏ|ɑːt͡ʃt͡ʃəɾjo,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,surprise,english,,english,,abstract|concept|idea,,noun,
^,,அதிசயம்,tamil,,tamil,'அதசயம':1 'surprise':2 'அத':3 'சயம':4,abstract|concept|idea,ஆச்சர்யொ,noun,
-,ꢂ,ꢂꢡꢶꢬꢸꢦ꣄ꢡꢶ,sourashtra,,,'ꢂꢡꢬꢦꢡ':1 'atirupti':2 'dissatisfaction':3 'அத':4 'மனக':5,abstract|concept|idea,अतिरुप्ति|அதிருப்தி|atirupti|atirupti|atirupti|ət̪ɪɾupt̪ɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,dissatisfaction,english,,english,,abstract|concept|idea,,noun,
^,,அதிருப்தி,tamil,,tamil,'அதரபத':1 'அத':2,abstract|concept|idea,அதிருப்தி,noun,
^,,மனக்குறை,tamil,,tamil,'மனககற':1 'மனக':2,abstract|concept|idea,அதிருப்தி,noun,
-,ꢂ,ꢂꢣꢸꢰ꣄ꢜꢸ,sourashtra,,,'ꢂꢣꢰꢜ':1 'adushtu':2 'adustu':3 'aduṣṭu':4 'luck':5 'அத':6 'டம':7,abstract|concept|idea,अदुष्टु|அது3ஷ்டு|adusht'u|aduSTu|aduṣṭu|əd̪uʂʈu,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,luck,english,,english,,abstract|concept|idea,,noun,
^,,அதிர்ஷ்டம்,tamil,,tamil,'அதரஷடம':1 'luck':2 'அத':3 'டம':4,abstract|concept|idea,அது3ஷ்டு,noun,
-,ꢂ,ꢂꢥ꣄ꢣꢱ꣄ꢡꢸ,sourashtra,,,'ꢂꢥꢣꢱꢡ':1 'andastu':2 'status':3 'அந':4 'தஸ':5,abstract|concept|idea,अन्दस्तु|அந்த3ஸ்து|andastu|andastu|andastu|ən̪d̪əs̪t̪u,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,status,english,,english,,abstract|concept|idea,,noun,
^,,அந்தஸ்து,tamil,,tamil,'அநதஸத':1 'status':2 'அந':3 'தஸ':4,abstract|concept|idea,அந்த3ஸ்து,noun,
-,ꢣ,ꢣꢾꢮꢸꢨꢵꢦ꣄,sourashtra,,,'ꢣꢮꢨꢦ':1 'devubaap':2 'devubap':3 'dĕvubāp':4 'simpleton':5 'அப':6,abstract|concept|idea,देवुबाप्|தே3வுபா3ப்|de'vubaap|dEvubAp|dĕvubāp|d̪eʋubɑːp,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,simpleton,english,,english,,abstract|concept|idea,,noun,
^,,அப்பாவி,tamil,,tamil,'அபபவ':1 'simpleton':2 'அப':3,abstract|concept|idea,தே3வுபா3ப்,noun,
-,ꢡ,ꢡꢪ꣄ꢪꢵꢞꢶ,sourashtra,,,'ꢡꢪꢪꢞ':1 'tammaadi':2 'tammadi':3 'tammāḍi':4 'simpleton':5 'அப':6,abstract|concept|idea,तम्माडि|தம்மாடி3|tammaad'i|tammADi|tammāḍi|t̪əmmɑːɖɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
-,ꢂ,ꢂꢦ꣄ꢬꢵꢠꢶ,sourashtra,,,'ꢂꢦꢬꢠ':1 'apraani':2 'aprani':3 'aprāṇi':4 'simpleton':5 'அப':6,abstract|concept|idea,अप्राणि|அப்ராணி|apraani|aprANi|aprāṇi|əpɾɑːɳɪ,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
-,ꢂ,ꢂꢥꢬ꣄ꢢꢸꢮꢡ꣄ꢡꣁ,sourashtra,,,'ꢂꢥꢬꢢꢮꢡꢡ':1 'anarthuvatto':2 'anarthuvattŏ':3 'absurdity':4 'அபத':5 'தம':6,abstract|concept|idea,अन्र्थुवत्तो|அனர்து2வத்தொ|anarthuvatto'|anarthuvattO|anarthuvattŏ|ən̪əɾt̪ʰuʋət̪t̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,absurdity,english,,english,,abstract|concept|idea,,noun,
^,,அபத்தம்,tamil,,tamil,'அபததம':1 'absurdity':2 'அபத':3 'தம':4,abstract|concept|idea,அனர்து2வத்தொ,noun,
-,ꢪ,ꢪꢶꢡꢥ꣄ꢮꢡ꣄ꢡꣁ,sourashtra,,,'ꢪꢡꢥꢮꢡꢡ':1 'mitanvatto':2 'mitanvattŏ':3 'absurdity':4 'அபத':5 'தம':6,abstract|concept|idea,मितन्वत्तो|மிதன்வத்தொ|mitanvatto'|mitanvattO|mitanvattŏ|mɪt̪ən̪ʋət̪t̪o,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
-,ꢂ,ꢂꢩꢶꢪꢵꢥ꣄,sourashtra,,,'ꢂꢩꢪꢥ':1 'abhimaan':2 'abhiman':3 'abhimān':4 'regard':5 'love':6 'அப':7 'னம':8,abstract|concept|idea,अभिमान|அபி4மான்|abhimaan|abhimAn|abhimān|əbʰɪmɑːn̪,,"{""""script"""":""""sourashtra"""",""""category"""":""""noun"""",""""type"""":""""abstract""""}"
^,,"Regard,love",english,,english,,abstract|concept|idea,,noun,
